Edad,Experiencia_Anios,Horas_Trabajo_Semanal,Nivel_Educacion,Num_Proyectos,Certificaciones,Genero,Ciudad,Salario
59,12,47.9,3,10,2,F,Barranquilla,9042.49
69,36,38.0,1,11,2,M,Medellín,9694.91
32,15,37.1,4,18,2,M,Bogotá,8828.59
64,21,40.1,2,16,1,F,Medellín,8610.07
46,19,29.3,2,23,0,M,Bogotá,9238.77
50,26,27.8,4,6,4,M,Medellín,8666.45
69,15,45.7,5,8,9,F,Cali,11424.62
47,33,36.6,2,13,4,F,Medellín,8453.9
56,31,45.7,4,19,4,F,Barranquilla,11930.77
44,25,48.9,2,11,3,F,Cali,9281.57
53,24,49.6,4,14,2,M,Bogotá,8690.51
46,1,27.0,3,11,2,F,Medellín,5683.78
55,11,34.4,2,20,1,F,Bogotá,7835.42
50,39,44.3,2,20,4,F,Cali,11073.0
54,8,44.4,1,22,3,M,Barranquilla,7401.92
44,11,58.0,2,12,5,M,Barranquilla,7863.76
50,25,32.7,2,8,1,M,Barranquilla,5747.53
21,8,49.3,3,23,1,M,Bogotá,8476.49
39,9,43.0,5,6,7,F,Barranquilla,9109.63
19,31,26.9,1,0,5,M,Barranquilla,7575.3
27,33,35.6,3,9,2,M,Bogotá,8788.02
22,19,42.1,3,5,4,F,Bogotá,6805.45
27,38,26.4,4,14,2,F,Cali,8879.54
50,1,23.4,3,14,1,M,Barranquilla,5910.49
55,0,25.9,3,8,2,F,Cali,6052.44
30,35,42.1,3,12,0,M,Medellín,7944.03
48,23,36.1,2,22,6,M,Medellín,9306.76
64,26,35.0,1,0,5,M,Medellín,7174.78
53,1,35.3,2,8,4,F,Medellín,4905.22
62,30,28.6,1,2,5,F,Bogotá,6826.39
41,13,36.3,3,8,7,M,Cali,8144.25
69,1,25.4,2,19,2,M,Cali,7579.2
32,28,49.5,3,24,2,F,Bogotá,10754.41
46,14,53.5,1,14,4,M,Medellín,7676.46
25,11,21.4,4,23,4,F,Cali,8910.74
22,36,36.2,4,6,0,F,Barranquilla,8702.62
46,27,36.8,2,3,3,F,Bogotá,7474.24
64,19,38.6,2,24,8,F,Bogotá,9901.32
21,38,48.0,3,19,7,M,Barranquilla,10325.36
29,23,36.3,1,16,2,F,Medellín,8770.76
62,20,39.3,2,21,4,F,Medellín,12133.09
19,9,63.8,2,3,4,F,Cali,6400.88
44,13,39.1,4,18,6,M,Barranquilla,8779.77
48,36,54.1,4,4,7,M,Cali,11790.67
68,17,44.0,3,15,8,M,Medellín,9775.81
68,23,35.6,3,2,6,M,Cali,8853.93
53,13,34.2,4,10,1,M,Barranquilla,7761.68
53,33,39.9,4,24,7,F,Barranquilla,12492.28
43,11,31.0,5,21,7,M,Barranquilla,9987.77
60,21,33.1,1,14,1,M,Medellín,8594.81
44,5,36.6,2,18,5,F,Bogotá,7561.44
22,35,42.3,3,20,9,M,Bogotá,11674.66
37,35,54.6,3,23,0,M,Bogotá,10776.86
28,21,36.1,1,13,6,F,Cali,7593.16
27,13,43.7,1,15,9,M,Barranquilla,6766.73
57,15,27.0,4,23,1,M,Medellín,8828.07
55,35,48.5,4,5,4,F,Bogotá,10372.08
23,24,26.2,2,4,6,M,Bogotá,7313.93
25,31,46.4,4,20,9,M,Cali,10848.97
40,32,39.4,3,16,8,F,Cali,10705.96
64,35,39.0,4,15,0,M,Bogotá,10452.72
43,19,37.6,2,1,8,M,Barranquilla,7845.21
63,17,29.6,1,10,4,M,Barranquilla,8835.21
60,37,30.0,2,3,5,M,Cali,6943.7
29,2,46.7,3,5,7,M,Cali,7554.06
43,22,40.1,3,6,1,F,Barranquilla,7530.25
30,31,37.5,1,16,6,M,Cali,8088.29
57,15,43.5,5,7,3,F,Cali,8849.41
35,4,40.8,2,0,8,M,Barranquilla,7064.13
42,3,33.7,2,24,5,M,Barranquilla,9572.06
50,20,59.7,3,14,6,F,Medellín,8808.57
64,39,45.9,3,19,5,F,Cali,11009.62
57,13,41.0,2,11,7,F,Cali,7265.6
60,38,35.9,4,14,5,M,Medellín,11444.92
29,30,47.6,3,22,6,M,Cali,10904.88
61,13,33.7,3,21,7,F,Cali,10780.5
53,5,33.0,3,14,0,M,Bogotá,7253.05
65,11,53.5,1,8,9,M,Bogotá,8782.3
21,15,40.2,3,15,3,M,Bogotá,6618.44
22,16,33.9,4,1,5,M,Medellín,8360.71
54,22,40.0,1,14,0,M,Cali,8427.79
25,13,46.8,2,14,3,F,Medellín,6723.64
59,6,45.0,4,6,5,M,Medellín,7220.22
66,31,47.8,2,20,6,F,Cali,11543.98
45,14,30.0,3,12,5,M,Barranquilla,6885.7
48,16,47.6,5,22,3,M,Barranquilla,9845.83
26,33,38.6,2,16,6,M,Cali,8666.79
68,4,40.7,1,10,9,M,Barranquilla,7553.04
46,26,49.7,4,9,1,F,Bogotá,8400.32
31,22,45.6,4,24,5,M,Cali,9970.67
57,39,42.8,3,0,4,M,Medellín,8280.07
58,13,24.1,3,13,1,F,Bogotá,7100.26
39,14,39.6,4,4,8,M,Medellín,7316.92
28,32,33.7,3,7,6,M,Barranquilla,9239.64
40,30,45.7,2,0,2,M,Cali,7886.43
18,34,47.9,1,6,6,F,Bogotá,8129.73
63,16,37.6,3,1,5,M,Cali,8645.25
54,27,34.7,4,6,6,F,Bogotá,8778.05
38,18,52.5,4,6,3,F,Bogotá,7398.57
43,22,35.2,5,8,9,M,Bogotá,10476.81
63,31,30.4,4,21,7,M,Cali,12388.79
53,39,33.3,3,3,7,M,Bogotá,9716.73
40,12,35.6,2,22,6,M,Bogotá,8814.14
18,19,33.1,4,6,6,F,Cali,7033.59
68,34,46.8,3,19,9,M,Medellín,10073.58
57,4,22.4,3,17,7,M,Barranquilla,8967.07
32,8,32.9,1,12,0,M,Cali,6158.96
38,28,39.6,4,10,5,F,Cali,9135.09
64,5,41.7,3,8,1,M,Bogotá,6343.8
26,24,53.5,2,13,0,M,Cali,6905.48
26,30,52.4,3,7,9,M,Cali,9175.85
27,21,27.2,3,20,6,M,Barranquilla,10167.99
69,1,24.7,2,13,5,M,Cali,6487.71
43,4,40.2,4,20,4,M,Bogotá,9214.38
58,26,34.6,2,16,4,M,Barranquilla,8870.82
52,24,30.5,2,24,8,F,Cali,9062.28
69,7,40.1,2,13,8,F,Bogotá,8271.87
42,0,41.8,3,23,5,M,Barranquilla,9748.54
43,19,33.3,5,4,2,M,Cali,7426.2
28,22,35.0,4,9,6,M,Bogotá,8575.23
55,31,33.9,4,5,3,F,Barranquilla,9069.97
19,10,36.7,1,9,4,M,Bogotá,5863.39
24,38,44.3,1,10,6,M,Barranquilla,9938.38
35,23,31.4,3,23,6,F,Cali,9511.65
44,10,34.9,2,5,9,F,Medellín,7332.0
51,28,36.8,4,9,7,M,Barranquilla,10653.92
44,25,39.9,3,13,0,M,Cali,7687.21
34,15,42.2,5,19,4,F,Barranquilla,9821.47
60,34,56.3,2,2,8,F,Medellín,10190.19
61,19,44.6,3,6,6,F,Bogotá,8218.18
68,2,44.8,3,1,1,F,Medellín,5713.42
41,0,37.9,2,6,0,M,Medellín,3892.24
42,0,32.2,3,16,7,M,Bogotá,8610.53
24,16,35.8,2,12,8,F,Medellín,8083.84
69,1,34.3,2,20,9,M,Cali,8679.18
23,28,43.1,2,8,4,M,Barranquilla,7474.84
41,19,26.8,1,12,5,F,Medellín,7379.78
50,5,44.7,3,14,1,F,Barranquilla,7467.85
66,7,39.1,2,12,4,F,Barranquilla,7014.32
46,28,45.9,1,16,3,M,Bogotá,8139.23
60,32,34.2,2,7,7,M,Medellín,9102.34
39,2,32.8,2,8,7,M,Bogotá,6607.82
43,34,36.7,2,8,4,F,Bogotá,9890.25
45,4,36.6,1,7,7,M,Barranquilla,5591.81
67,26,46.5,3,15,5,F,Cali,8930.12
38,11,46.4,3,19,9,M,Barranquilla,10725.94
66,19,55.2,3,6,5,F,Bogotá,8015.67
24,19,36.0,4,16,3,M,Medellín,9854.04
34,8,13.2,3,6,9,M,Cali,8202.87
37,38,36.7,3,5,2,F,Cali,8950.94
58,3,41.8,4,4,8,F,Medellín,8869.39
66,18,45.7,2,16,4,M,Medellín,7530.24
37,37,42.4,3,7,9,M,Cali,9079.1
39,26,36.0,2,0,9,F,Bogotá,8122.29
45,12,53.7,2,15,3,M,Cali,7481.08
57,12,31.7,4,16,5,M,Cali,8652.46
66,21,37.8,2,2,3,F,Cali,7883.38
24,27,31.4,2,12,5,F,Bogotá,8377.0
18,21,40.2,2,7,9,M,Medellín,8712.45
49,18,52.7,2,15,7,F,Medellín,8857.98
30,7,38.9,2,23,7,M,Medellín,8540.36
47,7,38.9,3,6,5,M,Bogotá,8270.21
40,25,26.4,4,20,0,F,Bogotá,8269.29
68,25,37.7,4,14,0,M,Medellín,9376.56
36,22,49.2,2,23,2,M,Barranquilla,8358.48
49,12,38.0,5,1,1,M,Barranquilla,8431.39
47,27,37.5,3,23,0,M,Medellín,11582.1
46,8,48.8,2,1,0,M,Barranquilla,5309.9
66,19,37.5,4,9,5,F,Barranquilla,9706.62
62,18,50.3,3,4,6,F,Medellín,8341.53
46,38,29.7,3,3,7,M,Medellín,9281.63
47,11,45.4,2,14,2,M,Bogotá,7382.84
33,14,53.2,3,12,0,F,Barranquilla,6103.84
57,30,48.1,4,16,4,M,Barranquilla,11294.74
36,13,25.1,3,20,7,F,Medellín,8328.21
35,10,34.9,3,22,3,F,Cali,8155.42
18,25,38.1,3,0,1,F,Medellín,6248.04
31,26,48.1,4,17,8,M,Bogotá,10106.78
68,10,29.3,2,14,8,M,Cali,9197.71
64,37,31.8,3,13,2,M,Cali,9616.66
67,33,27.2,1,8,6,M,Cali,9735.45
19,18,33.4,3,11,0,F,Bogotá,6039.03
45,5,30.0,3,4,7,M,Barranquilla,6721.49
66,37,52.8,1,22,7,M,Medellín,10584.5
67,27,34.8,3,1,2,M,Bogotá,8662.98
47,0,45.5,2,22,4,F,Bogotá,7548.77
55,34,40.1,1,22,3,M,Cali,9490.8
68,39,40.0,2,6,6,F,Cali,9688.04
21,7,35.3,2,20,6,M,Bogotá,7626.89
18,6,46.2,2,8,7,M,Barranquilla,6807.25
25,10,41.2,2,17,4,M,Cali,7814.3
46,38,40.8,3,3,4,M,Bogotá,8840.73
56,3,35.3,4,1,7,M,Cali,7158.22
20,24,36.6,3,23,4,F,Medellín,7043.46
49,11,44.7,1,0,0,M,Medellín,4413.89
27,25,41.8,4,24,2,F,Medellín,11226.55
27,37,41.0,3,11,1,M,Cali,9128.96
36,11,34.0,1,12,9,M,Cali,6671.49
63,36,55.6,4,13,4,F,Barranquilla,10838.99
51,23,36.2,2,4,7,M,Medellín,7560.64
50,15,39.8,3,2,8,F,Barranquilla,8743.09
40,12,38.5,3,3,8,F,Bogotá,8272.39
45,24,55.6,2,16,0,M,Bogotá,7674.19
49,3,37.7,4,18,0,M,Medellín,7698.4
67,10,36.9,2,10,0,M,Barranquilla,5821.48
24,31,40.9,1,7,0,M,Cali,6032.21
46,6,34.5,4,11,8,M,Barranquilla,8095.7
25,10,40.9,4,17,0,F,Bogotá,7016.69
18,27,59.0,3,17,6,F,Barranquilla,10027.96
20,22,42.4,3,8,5,M,Bogotá,8935.32
41,22,42.1,1,4,8,M,Bogotá,7448.28
40,27,34.3,4,20,8,F,Barranquilla,10330.54
25,25,53.7,1,16,3,F,Cali,8116.99
64,24,55.5,1,12,8,F,Bogotá,9560.08
54,28,46.8,3,5,5,M,Barranquilla,8741.0
20,18,45.2,2,23,4,M,Bogotá,10165.29
68,32,38.1,1,21,8,F,Medellín,11146.8
50,35,43.1,2,13,6,F,Cali,10415.56
45,13,33.3,1,14,8,M,Medellín,6150.73
64,13,31.0,2,22,4,F,Bogotá,8274.69
25,34,28.1,1,13,3,M,Cali,8337.63
51,29,43.3,2,3,9,F,Barranquilla,9131.55
52,27,29.0,3,17,2,M,Barranquilla,9032.2
49,16,36.0,4,0,4,F,Cali,7707.85
41,2,39.5,3,11,8,F,Medellín,8439.34
31,15,48.0,3,21,2,F,Medellín,8236.74
49,29,35.4,1,8,0,F,Cali,6537.6
63,28,48.9,1,9,1,M,Barranquilla,7623.71
60,14,47.5,2,20,9,F,Cali,10431.01
33,24,31.4,3,17,4,M,Medellín,8597.92
21,37,49.0,3,16,2,F,Bogotá,10222.33
69,37,37.7,3,18,5,F,Barranquilla,11024.89
54,22,36.0,2,3,7,M,Cali,7462.35
38,24,37.8,1,15,5,F,Bogotá,10114.16
31,6,40.0,4,6,9,F,Medellín,6887.33
48,21,36.7,2,8,8,M,Barranquilla,9115.87
65,16,33.3,3,7,5,F,Cali,6799.35
35,17,34.0,3,24,4,F,Medellín,9951.54
24,9,41.1,3,6,3,F,Cali,8409.94
27,9,38.7,4,9,1,M,Cali,7601.13
24,6,44.2,4,7,5,F,Barranquilla,8153.46
50,37,40.4,3,23,1,M,Medellín,10699.13
40,26,40.6,3,16,4,M,Medellín,10162.81
38,32,44.7,2,11,0,M,Bogotá,8199.43
36,0,51.4,4,13,2,M,Medellín,8751.77
65,33,51.7,3,11,9,F,Medellín,10275.19
36,3,50.7,1,24,4,F,Barranquilla,8530.49
53,16,47.0,2,1,6,M,Bogotá,7472.16
46,3,56.7,1,11,7,F,Barranquilla,6230.25
35,25,43.5,3,13,6,F,Medellín,9067.93
19,3,42.6,3,6,6,F,Bogotá,4993.24
18,0,58.0,2,12,1,F,Barranquilla,2848.13
64,6,18.2,1,20,5,F,Bogotá,6793.36
22,29,38.3,4,3,4,F,Medellín,7794.07
37,8,50.0,4,0,8,M,Bogotá,7479.95
28,34,47.8,4,16,9,F,Bogotá,10309.17
59,7,60.5,2,2,3,M,Bogotá,6029.22
19,23,40.9,4,16,6,F,Medellín,9737.63
20,18,36.6,3,7,7,M,Medellín,7267.88
40,35,37.3,2,2,5,F,Bogotá,7234.81
29,26,42.5,1,9,2,M,Barranquilla,6337.42
37,31,53.0,2,1,4,M,Barranquilla,8689.27
22,13,53.1,1,21,0,F,Medellín,5525.13
54,17,39.6,5,3,7,F,Cali,9987.48
55,27,42.0,1,13,1,M,Barranquilla,9017.28
47,28,35.1,2,10,9,F,Bogotá,9156.5
26,15,35.9,3,13,6,F,Cali,8516.62
51,34,48.4,2,12,8,F,Medellín,9636.27
61,30,52.8,3,3,0,F,Barranquilla,8291.17
52,3,34.4,1,1,3,M,Cali,6557.15
69,36,41.9,4,1,6,F,Medellín,11070.42
39,16,38.1,2,10,8,F,Medellín,7723.68
61,38,46.9,3,21,1,F,Bogotá,9933.12
41,25,36.9,3,4,1,F,Barranquilla,7023.56
34,38,24.6,4,8,5,M,Cali,9937.64
27,3,48.0,4,19,2,F,Bogotá,8392.29
47,29,37.6,3,20,3,F,Barranquilla,9971.63
63,29,38.4,2,16,2,F,Cali,10719.83
40,21,43.5,3,11,0,M,Medellín,7678.58
49,10,42.8,4,17,5,F,Medellín,8826.7
34,1,43.6,4,2,1,M,Barranquilla,5943.63
67,11,27.0,1,4,1,F,Bogotá,6200.04
68,29,44.5,2,20,6,F,Cali,10177.23
34,35,24.7,4,19,4,M,Cali,9849.61
31,17,46.2,2,13,7,M,Medellín,6974.44
26,25,48.9,2,15,1,F,Barranquilla,7652.34
57,6,29.1,2,18,9,F,Bogotá,9774.91
19,0,42.6,3,8,7,F,Medellín,7006.89
62,25,48.5,5,16,6,F,Medellín,12296.59
42,22,36.4,3,21,9,F,Bogotá,10152.5
56,25,45.4,2,6,7,M,Cali,8570.29
26,5,17.7,2,9,2,F,Cali,3770.91
39,5,48.8,1,3,7,M,Barranquilla,6673.29
60,7,40.2,3,9,5,M,Medellín,8817.19
63,23,37.9,3,2,1,F,Barranquilla,6570.24
21,21,47.9,2,23,5,F,Cali,10484.1
43,18,53.8,3,8,4,M,Bogotá,7894.41
46,36,43.9,3,12,2,M,Cali,8661.88
62,17,52.9,2,0,0,F,Cali,5950.75
51,30,27.6,2,14,6,M,Medellín,9971.74
40,36,45.3,5,14,1,M,Cali,10396.41
54,29,38.9,2,10,0,M,Barranquilla,7491.07
28,32,33.7,4,9,0,F,Bogotá,8819.36
23,9,24.6,3,24,6,F,Medellín,9291.58
35,36,44.9,4,6,0,M,Bogotá,8509.36
38,11,47.0,4,0,8,M,Barranquilla,7349.59
59,29,50.7,3,6,5,F,Barranquilla,8839.01
53,26,49.4,4,4,3,F,Cali,9108.85
58,38,33.8,4,22,3,M,Barranquilla,10453.61
55,8,50.3,3,15,4,F,Cali,7759.39
51,20,51.2,2,24,1,F,Medellín,9093.37
34,11,37.9,2,7,4,F,Bogotá,5807.92
54,28,40.2,4,21,1,F,Cali,10616.18
42,32,32.5,3,1,3,F,Cali,7948.2
55,14,51.8,2,7,9,M,Medellín,10396.53
29,1,27.9,1,13,4,M,Barranquilla,4974.49
40,38,44.3,3,3,5,F,Cali,9055.58
59,17,35.2,2,23,5,F,Barranquilla,8857.45
39,2,31.1,3,14,8,F,Cali,9433.34
38,6,25.0,3,6,3,F,Barranquilla,7485.98
44,17,38.3,3,19,4,M,Cali,7860.16
48,37,29.9,1,7,5,M,Bogotá,8316.92
23,36,40.5,2,10,3,F,Bogotá,8391.33
44,32,54.2,2,1,5,F,Bogotá,7820.85
57,30,41.6,2,8,1,F,Cali,7721.9
51,10,56.0,3,5,6,F,Barranquilla,8331.72
29,3,32.1,3,22,2,F,Medellín,8916.8
62,17,29.8,2,0,9,M,Medellín,8302.64
24,3,31.8,1,2,3,M,Medellín,4848.32
27,33,39.5,2,9,8,F,Bogotá,8803.63
62,28,61.8,5,4,4,F,Bogotá,10810.87
34,23,26.7,3,11,8,M,Bogotá,9821.74
43,21,45.0,4,22,9,M,Barranquilla,10990.29
38,1,34.4,4,0,9,M,Bogotá,6659.53
45,5,38.2,3,8,9,F,Barranquilla,6597.82
63,24,29.9,3,20,9,M,Barranquilla,10061.44
19,20,47.0,2,12,5,F,Barranquilla,7373.01
60,15,39.6,3,18,7,F,Cali,8998.18
18,30,48.7,2,6,4,M,Medellín,8244.03
68,13,41.4,4,15,4,F,Barranquilla,9333.82
53,38,24.5,1,7,2,M,Medellín,8398.56
68,27,48.8,4,18,6,F,Barranquilla,10475.38
43,31,23.9,1,6,1,M,Barranquilla,7872.51
46,27,25.0,4,22,2,M,Bogotá,10616.65
38,8,32.7,2,3,1,M,Medellín,5464.07
28,21,32.8,3,9,7,M,Barranquilla,9109.49
57,31,51.2,3,24,3,F,Medellín,11408.02
28,4,38.6,2,0,9,M,Bogotá,5088.27
53,22,50.0,3,16,7,M,Barranquilla,10656.51
66,4,35.5,4,20,7,M,Bogotá,9172.57
56,31,42.5,1,12,7,M,Barranquilla,9526.21
57,9,43.8,4,18,7,F,Bogotá,9243.74
52,38,45.6,3,12,7,M,Bogotá,12193.77
51,14,36.3,4,8,8,F,Cali,9535.22
64,6,37.0,2,4,1,F,Barranquilla,6620.95
41,28,37.6,3,22,8,F,Barranquilla,10461.61
39,2,26.8,4,0,7,M,Barranquilla,6676.13
22,18,39.3,2,1,9,F,Medellín,7151.66
50,9,36.9,3,10,0,M,Cali,6811.76
53,27,44.6,1,3,4,M,Medellín,5764.06
64,28,40.7,2,8,1,M,Barranquilla,9681.93
37,14,50.7,3,4,9,F,Cali,8054.73
36,34,40.6,3,4,4,M,Bogotá,8910.45
52,5,35.5,3,24,7,F,Cali,8460.7
69,11,40.5,1,7,8,F,Bogotá,8823.5
60,37,45.8,2,1,8,F,Barranquilla,10470.52
34,12,25.8,2,6,0,F,Barranquilla,6100.5
62,28,34.3,3,16,6,M,Bogotá,10642.78
60,18,34.4,4,10,7,M,Cali,11424.42
51,2,43.3,4,14,9,M,Medellín,9850.98
26,7,44.2,1,24,2,M,Cali,6060.1
43,7,40.8,4,2,5,M,Bogotá,7166.59
19,19,20.2,3,12,2,F,Bogotá,7605.0
26,3,26.8,3,17,8,F,Medellín,8016.04
26,20,38.1,1,19,2,F,Medellín,7959.98
57,2,36.0,3,19,1,M,Medellín,8757.99
34,7,40.0,2,2,8,F,Bogotá,6199.08
18,22,36.2,2,1,7,M,Barranquilla,6469.08
42,15,52.3,1,4,7,F,Cali,6046.09
60,12,21.6,2,19,1,F,Medellín,6271.25
57,2,42.4,1,4,5,F,Bogotá,5451.2
59,8,46.6,2,12,4,M,Cali,7012.17
42,13,45.6,1,7,1,M,Medellín,5648.7
56,12,46.3,3,15,4,M,Barranquilla,8186.32
52,6,47.4,1,17,3,M,Cali,6271.45
20,14,35.2,3,24,8,F,Cali,9187.61
67,6,31.2,1,15,0,M,Bogotá,6833.41
54,37,23.7,4,0,5,M,Bogotá,8737.3
61,33,37.1,4,7,6,F,Bogotá,10110.57
61,21,33.8,2,20,5,F,Barranquilla,11287.72
68,23,49.3,3,1,4,F,Cali,9059.64
47,36,37.7,1,23,3,M,Medellín,10162.78
55,0,31.8,4,4,4,F,Barranquilla,6840.79
51,9,30.5,3,14,8,F,Medellín,8164.25
29,15,55.9,1,13,4,M,Medellín,6787.57
36,7,39.8,2,2,9,F,Bogotá,6375.17
54,24,33.7,1,6,7,M,Medellín,7979.51
61,11,41.0,2,3,6,M,Medellín,7044.71
66,24,55.2,3,10,3,M,Barranquilla,8295.24
34,16,36.9,3,11,9,F,Bogotá,9280.33
27,25,45.5,2,14,4,F,Medellín,7878.71
66,13,49.5,1,5,6,F,Medellín,8770.38
64,35,24.9,2,23,5,M,Medellín,12033.2
29,22,34.9,1,0,2,F,Cali,4079.26
33,5,48.5,4,17,9,M,Cali,9089.93
41,4,34.4,1,13,2,F,Bogotá,7107.63
36,24,43.3,3,23,1,M,Barranquilla,9959.66
25,17,33.9,2,6,2,M,Bogotá,6184.76
48,12,36.4,2,9,9,M,Cali,6225.81
38,13,35.5,3,8,0,M,Bogotá,6308.45
34,27,45.1,3,1,8,M,Barranquilla,8574.79
40,17,41.6,2,7,1,M,Bogotá,4879.22
54,27,40.8,3,21,2,M,Medellín,10532.7
33,26,60.1,3,0,4,M,Barranquilla,7045.02
23,31,53.9,2,19,9,M,Barranquilla,10684.54
25,8,24.2,3,1,3,M,Barranquilla,5453.46
42,39,36.5,3,6,4,M,Bogotá,9033.16
35,31,59.4,1,24,5,M,Bogotá,10759.26
42,19,35.4,3,15,4,F,Medellín,8926.03
29,27,56.7,1,21,9,F,Barranquilla,12228.22
32,32,36.6,2,3,0,M,Medellín,8191.33
43,3,38.1,3,20,5,F,Barranquilla,7476.54
58,33,46.9,4,16,8,M,Cali,12762.95
62,2,39.3,4,3,2,F,Bogotá,5970.19
43,25,44.0,1,2,1,M,Medellín,5235.55
64,7,52.6,2,8,5,F,Bogotá,6228.1
49,5,46.1,3,21,2,M,Bogotá,7949.98
27,15,41.1,1,14,3,F,Cali,7576.2
33,23,53.4,4,19,5,M,Cali,10372.69
24,38,47.0,3,2,5,F,Barranquilla,8991.77
34,29,34.1,4,11,1,F,Cali,6119.84
40,12,55.8,1,14,2,F,Barranquilla,6693.79
43,4,45.1,2,19,8,M,Cali,7609.51
38,24,38.3,4,7,1,F,Cali,6720.52
39,19,23.8,3,11,2,F,Medellín,6608.91
24,17,29.0,4,20,8,M,Cali,9951.74
31,17,53.6,1,12,3,M,Medellín,7505.21
32,1,53.9,3,14,0,F,Cali,5640.18
24,9,40.7,3,10,1,M,Medellín,6801.77
26,11,25.8,1,16,2,F,Bogotá,6890.13
68,12,31.3,3,20,8,F,Barranquilla,10393.19
65,10,27.0,3,23,8,M,Cali,9503.39
25,18,26.7,2,11,5,F,Medellín,6887.63
67,34,56.2,2,19,5,F,Cali,11280.22
40,38,56.5,3,17,2,M,Medellín,9754.95
46,25,31.0,3,15,4,M,Medellín,9732.31
35,13,39.9,4,2,3,F,Cali,5967.1
48,23,29.7,2,8,9,F,Barranquilla,9050.26
47,0,39.9,2,6,9,F,Medellín,7519.05
69,21,53.1,5,18,8,M,Bogotá,12114.67
56,22,48.6,4,4,8,F,Cali,8676.61
52,18,46.5,1,18,0,F,Bogotá,6293.15
35,17,38.4,4,9,7,F,Medellín,7905.18
59,11,50.1,1,19,8,M,Medellín,9376.41
56,27,45.2,1,11,4,F,Cali,8193.23
34,27,43.2,2,7,3,F,Barranquilla,7117.58
31,32,39.1,2,2,9,M,Bogotá,8779.69
48,18,42.5,4,18,3,M,Barranquilla,7948.73
41,27,42.3,3,10,1,F,Bogotá,8009.78
52,36,35.7,5,7,8,M,Barranquilla,10270.12
61,25,33.8,3,12,4,F,Cali,8191.57
62,34,32.0,2,22,2,F,Bogotá,9878.34
51,33,32.5,3,22,5,M,Cali,13020.24
20,34,38.5,5,9,8,F,Barranquilla,10983.22
54,39,37.2,3,17,8,F,Barranquilla,10763.52
60,15,35.0,4,11,4,F,Barranquilla,9813.73
57,37,34.4,4,6,7,F,Cali,9475.66
43,12,42.3,1,10,3,F,Medellín,7683.34
40,22,51.0,3,9,4,M,Medellín,7699.78
61,21,39.9,4,2,6,F,Bogotá,8831.13
56,15,39.4,5,6,6,F,Cali,10779.5
32,27,32.5,2,3,6,M,Cali,7227.2
66,34,38.2,3,7,7,M,Cali,11653.19
21,7,49.5,3,7,4,M,Barranquilla,6409.79
46,21,48.3,2,5,0,M,Cali,6584.82
39,20,47.7,3,12,8,M,Medellín,8621.64
42,25,47.5,2,11,8,M,Bogotá,10312.43
30,39,43.5,2,2,6,M,Medellín,8066.01
35,20,43.2,2,5,5,M,Cali,8747.13
50,24,42.0,3,21,4,F,Bogotá,9617.78
33,0,36.7,2,18,4,F,Bogotá,6471.26
62,5,40.7,3,10,2,M,Cali,7963.66
59,22,41.7,2,3,9,F,Cali,8433.72
61,22,45.1,2,14,0,F,Medellín,8372.24
19,22,40.8,1,1,5,F,Medellín,4919.8
52,31,56.8,2,14,7,F,Barranquilla,10300.16
59,29,30.3,3,16,1,F,Barranquilla,9666.35
51,12,46.0,4,1,7,M,Barranquilla,9324.44
47,17,39.7,2,6,7,M,Cali,7367.76
30,22,40.0,1,15,9,F,Cali,8980.0
30,14,33.5,3,4,7,M,Barranquilla,8220.68
35,32,48.2,2,15,9,F,Barranquilla,10292.1
49,20,45.2,5,24,2,F,Medellín,11651.94
49,38,46.7,3,18,9,F,Barranquilla,13924.12
52,22,41.4,2,1,7,M,Barranquilla,7724.67
56,26,37.4,2,14,3,F,Bogotá,9879.9
63,17,39.5,3,3,2,F,Barranquilla,7699.37
69,23,43.5,1,1,8,F,Bogotá,8623.46
46,39,24.0,1,22,7,M,Barranquilla,11234.01
66,6,47.0,2,9,9,F,Bogotá,9068.2
46,19,59.4,4,21,1,M,Barranquilla,10581.23
61,26,43.8,3,23,7,F,Medellín,11365.78
33,5,37.8,1,4,2,F,Cali,4227.22
61,26,38.7,3,17,9,F,Bogotá,11365.8
64,8,45.7,2,3,5,M,Cali,5623.02
27,30,37.9,3,0,4,F,Medellín,7938.4
47,20,46.9,2,17,7,F,Barranquilla,10015.2
42,25,38.6,3,19,8,F,Barranquilla,10365.91
56,39,53.7,5,5,6,F,Medellín,11160.84
37,12,53.5,1,19,5,F,Cali,8696.99
22,22,37.4,2,19,5,F,Cali,9248.72
18,19,39.4,2,13,0,M,Cali,7362.43
47,36,39.8,2,9,4,F,Cali,9653.6
66,27,39.9,2,17,7,M,Bogotá,10433.54
20,16,32.4,4,8,5,F,Cali,7714.1
62,27,31.3,4,11,0,M,Bogotá,9337.36
31,1,50.0,2,9,4,F,Medellín,7147.79
47,24,48.7,3,23,4,M,Barranquilla,10596.92
67,5,48.6,3,23,2,F,Bogotá,10008.13
21,10,39.4,3,20,7,M,Cali,7089.8
35,37,55.1,2,18,8,F,Barranquilla,11178.79
54,5,39.8,2,5,5,M,Bogotá,6513.12
42,10,46.9,3,13,5,F,Barranquilla,6780.85
65,13,28.9,2,24,1,F,Medellín,7466.34
18,1,38.2,4,7,9,F,Cali,7612.06
